== Phase 1 ==
MEM: abs=11703785881 bytes
== Phase 2 ==
CPU: threads=28 util=0.94 duration=169s
[metrics] name=DL elapsed_s=105.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=106.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=107.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=108.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=109.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=110.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=111.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=112.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=113.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=114.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=115.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=116.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=117.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=118.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=119.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=120.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=121.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=122.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=123.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=124.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=125.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=126.0 alloc_bytes=11703785881 VmRSS_kib=11432448
[metrics] name=DL elapsed_s=127.0 alloc_bytes=11703785881 VmRSS_kib=11432448
